",""baseMean"",""log2FoldChange"",""lfcSE"",""stat"",""pvalue"",""padj"""
jg32107.t1,1157.60318593482,0.0739973127973762,0.155363358228267,0.476285487396943,0.633871003104946,0.76517717241234
jg9384.t1,23432.0943681323,0.541571719825184,0.574669753469738,0.942405123212566,0.345985265260192,0.49779739514575
jg33703.t1,1184.7674479599,0.154483214280896,0.566807496442893,0.272549702060019,0.785199380398208,0.87943297412871
jg32974.t1,9282.10533110758,0.180429114501145,0.100266526495849,1.79949501400764,0.0719404119211808,0.148724539076828
jg26929.t1,192.22870880319,1.94578836412475,0.319726550843422,6.0857891188325,1.15918935812487e-09,1.53441036090489e-08
jg14921.t1,4461.4738205152,-0.231325155486414,0.087132815880079,-2.65485687739952,0.00793420639069816,0.0239623240942563
jg14818.t1,1.18911740441836,0.341245121785848,2.48721468239168,0.137199705438258,0.890872943735344,0.934161270997675
jg20863.t1,2072.57070677549,-0.36008709571159,0.333108566182927,-1.08099020039565,0.27970147277633,0.425279485456196
jg27143.t1,21.5328291361069,-5.97118408773296,1.56916766938925,-3.80531934490918,0.000141621349950752,0.000717048922311093
jg15032.t1,3727.15382486661,-0.163332924132652,0.169363646388948,-0.964391872843561,0.334849495278979,0.485616018563127
jg5540.t1,125.538539683316,-0.00371014143385261,0.317571831153196,-0.0116828417066464,0.990678653019674,0.99366608258171
jg5437.t1,32598.6636297765,0.0653389789646957,0.143350049269169,0.455800184916635,0.648533671140048,0.776405285002242
jg28636.t1,903.54446678742,-3.55755178007943,0.392937388147872,-9.05373702626801,1.38157288053545e-19,5.24313212602686e-18
jg16525.t1,7.79206241978755,2.2886681276576,1.19365659360421,1.91735892879126,0.0551923482258168,0.120303944298119
jg15796.t1,128.246683699442,-0.248676140740295,0.352341472497822,-0.705781635574655,0.480323944221488,0.631094581944528
jg22467.t1,2125.10586702071,-0.858063906834838,0.19097526475644,-4.49306305677422,7.02059854032949e-06,4.8185706746501e-05
jg30734.t1,4.9068136066909,-0.432844559404456,1.36638129800481,-0.316781677293517,0.751409268138504,0.855047089959082
jg8740.t1,385.495876131086,0.181467760393395,0.129194012657218,1.40461432121372,0.160135995697827,0.278050498853039
jg18232.t1,620.584139878155,-1.16940848481123,0.224181369011065,-5.21635000254423,1.82483218014525e-07,1.73020244624326e-06
jg8637.t1,3886.6946096137,0.231914365961679,0.217589924917235,1.06583228083696,0.286499465611096,0.432767329787638
jg18129.t1,2980.86224433706,0.646523754480725,0.268484085269025,2.40805243198269,0.0160378775208959,0.04343417741703
jg25770.t1,1122.57309528505,0.0189019479125914,0.180371396887034,0.104794597363071,0.916538797124956,0.949788575837987
jg19725.t1,842.238535366988,0.407104235508816,0.136969418192407,2.9722272378856,0.00295647777148087,0.0102742544140718
jg18996.t1,1446.33783943061,-0.185450295408818,0.241815070495244,-0.766909585200837,0.443135274294646,0.594711527540473
jg3300.t1,29.7681958158842,0.316231955842279,0.409898118456538,0.771489161826463,0.440417044095495,0.592263736092006
jg2468.t1,160.880086346188,10.0474934770683,1.04198282443759,9.64266707802154,5.27980299799641e-22,2.49893505147447e-20
jg25667.t1,17.989567197674,1.19445667869703,0.77366881913287,1.54388628461954,0.122615883297859,0.226552185542344
jg13556.t1,296.965853269518,1.18251274699469,0.467133822353582,2.53142181192699,0.0113601141724782,0.0324140482959743
jg32338.t1,0.966116121465428,-0.197594322012948,2.78597799009649,-0.0709245811400341,0.943457779715392,NA
jg32338.t2,2.44154226532834,-0.300764115833944,2.76279636692265,-0.108862209113497,0.913311781207396,0.947895576103005
jg21823.t1,70.6299698036702,-0.307241770908733,0.428445307255433,-0.717108498344598,0.473307152410682,0.623987707431049
jg27374.t1,21.0006068612539,-4.15683782229312,1.47769968667616,-2.8130464259915,0.0049074565285531,0.0158612308053657
jg28103.t1,3.86594854276786,1.89381881703705,1.2247522463413,1.54628727785106,0.122035203096709,0.225679840644156
jg28970.t1,1100.38901055552,0.198708107898313,0.141115153469288,1.40812735566035,0.159093362054712,0.276818075359468
jg5771.t1,344.775523628112,0.383634621062501,0.444399378257174,0.863265431574235,0.387991545757387,0.540638432923213
jg15263.t1,231.826696982705,-2.49415008887945,0.513351696019934,-4.85856014154981,1.18242493118774e-06,9.60592377812243e-06
jg28867.t1,0.749928919111869,-0.0102421992916772,3.69301332151013,-0.00277339895635388,0.997787150628556,NA
jg5668.t1,286.526599900161,0.145992819092493,0.305931009494372,0.477208306976737,0.633213796417462,0.764478937624201
jg23530.t1,582.357043555063,1.27534278715086,0.782178468203922,1.63050101606526,0.10299565063463,0.198057567462033
jg16756.t1,1593.75251966985,0.81142644696993,0.183374064333013,4.4249793443873,9.64515114619332e-06,6.41986047344004e-05
jg29081.t1,122.589480854881,-1.06890062798638,0.528240067776534,-2.02351296918007,0.0430202878278893,0.098175973194371
jg23427.t1,13758.2474335215,0.0511572444197783,0.18422421910162,0.277690114086245,0.781250250069252,0.876967038641618
jg1824.t1,12732.0769188478,0.501426813179486,0.450102356726024,1.11402841084146,0.265266998484551,0.408633513498196
jg11316.t1,953.416782841803,0.691189697079818,0.327585759255781,2.10995037955888,0.0348626301476122,0.082690795170852
jg30965.t1,10.0370599036288,-6.88758645647439,3.34241103647755,-2.06066410782708,0.0393350960878604,0.0912395632407447
jg8104.t1,11058.632600981,0.0289188614219934,0.146854749814382,0.196921525919629,0.843888948247303,0.906533014795497
jg7375.t1,4.04711128166555,0.425416844436122,1.42091280376842,0.299396868905585,0.764637250918684,0.864855686797787
jg12912.t1,538.767198391386,-0.764460800064947,0.370252214346868,-2.06470284428541,0.0389511253053984,0.090529332113505
jg12809.t1,30.1030237910063,2.3704648946743,0.901409988275308,2.62973000688597,0.00854527043322317,0.0255192091690017
jg9700.t1,9633.60986996403,-0.178078545627824,0.0790769827505006,-2.25196434453864,0.0243245253234357,0.0614323849200221
jg8971.t1,1876.22502239537,0.0357934445328434,0.147517767363137,0.242638193165793,0.808285691309848,0.89693797044135
jg18463.t1,426.78907324185,-1.68235216855006,0.232440475766596,-7.23777630811331,4.56100878621532e-13,9.34942561613771e-12
jg8868.t1,186.665399896997,-0.322719603470743,0.40622265525299,-0.794440190121248,0.426939214899541,0.578985588301147
jg25134.t1,10253.3337877354,-0.0459648736836643,0.119970650958321,-0.383134319239736,0.701620174473759,0.817859118120307
jg26730.t1,0.718051566511119,-1.03326193264847,4.17961854997472,-0.247214409710837,0.804742294012614,NA
jg19956.t1,7750.24546255224,0.222108933445605,0.111263737076018,1.99623830083879,0.0459079903044064,0.103500099278186
jg3531.t1,195.856623198935,1.00222393357432,0.852293077536102,1.17591467065725,0.239628975779124,0.379412544983613
jg25898.t1,72.2768856561573,-2.588614405817,2.25469439681067,-1.14809989747554,NA,NA
jg9082.t1,64.8887276333365,-7.1912748476657,1.55145413303304,-4.63518366063906,3.56620706818803e-06,2.61935794450712e-05
jg33401.t1,40.3165613801591,-4.35797511110572,0.572605451601551,-7.61078173272131,2.72442992855724e-14,6.40571133767723e-13
jg3428.t1,436.895842217413,0.286985191820675,0.269150383268735,1.06626335929878,0.286304607863938,0.432585233620738
jg26627.t1,278.28849840134,2.03625873287399,0.222344256970599,9.15813504975417,5.28019084647951e-20,2.08542462902749e-18
jg13787.t1,1.53555887471405,-1.00988643290348,2.16517840535758,-0.466421810971599,0.640913602431944,0.770609571136334
jg14516.t1,282.320187299135,-1.34063615613074,0.715374789727241,-1.87403326952841,0.0609258396955756,0.130149932077197
