"""GeneID"",""baseMean"",""log2FoldChange"",""lfcSE"",""pvalue"",""padj"""
jg19065.t1,621.70078179783,-11.2908115565379,0.99619331420297,3.86439994177569e-30,3.00667117209026e-28
jg31998.t1,83.4348342255877,-11.290204767167,3.39206760270043,3.75703811644115e-10,5.19167545125208e-09
jg32886.t1,78.7166824240049,-11.2664625745549,3.31924633239183,2.61819791851741e-11,4.1973260248035e-10
jg13270.t1,1729.42358214943,-11.2637889425361,0.696147850205658,5.5513432139697e-59,1.74665998793825e-56
jg11761.t1,1154.37442280363,-11.2372093021279,0.799628444736877,2.03639189505585e-44,3.29412275362933e-42
jg6855.t1,82.0404396551107,-11.2111689186512,3.43223279319403,2.09798892686281e-09,2.62312746523738e-08
jg20698.t1,63.5540671075025,-11.101699019688,3.10978526879192,4.69449580418488e-17,1.38000825323841e-15
jg22815.t1,76.1120577714986,-11.0951894393915,3.40976755534357,2.23394015718233e-09,2.7737282992387e-08
jg10985.t1,85.8026768748896,-11.0882588537044,3.61294230880232,1.58571105733044e-07,1.48034166917135e-06
jg14619.t1,67.0462909979802,-11.0849199061911,3.21290543881503,5.45308480593884e-13,1.05959942944825e-11
jg30080.t1,64.2798726542742,-11.0592400026623,3.16650378850654,2.74859987070496e-14,6.26077259331937e-13
jg17581.t1,65.6121587689133,-11.0428569457181,3.21413680716529,8.99205103163729e-13,1.71070036636438e-11
jg18008.t1,60.809454994717,-11.0418824587584,3.09052884694888,1.75671311734766e-17,5.39680364548265e-16
jg28908.t1,59.4845117520608,-11.0300852217825,3.06625116018103,6.82304254640035e-19,2.34241431880737e-17
jg3924.t1,61.327671984325,-11.0021779100579,3.14248211481916,7.0050682702867e-15,1.68687228523843e-13
jg6811.t1,59.5735225408661,-10.9752248637537,3.11063417752541,6.15092882995176e-16,1.63826413264352e-14
jg13704.t1,64.5583978912478,-10.9368998087085,3.27999786634463,7.20615354106786e-11,1.10453205668017e-09
jg32354.t1,683.767033862648,-10.916328777889,1.83817071345432,1.18695547943831e-10,1.76544983310534e-09
jg32525.t1,57.1666451676519,-10.905128903039,3.11173776237937,2.05092849957415e-15,5.18289362752048e-14
jg6688.t1,59.3221484033365,-10.8965053259116,3.1778622921548,4.64084023547545e-13,9.1324080839954e-12
jg18600.t1,54.4651297641202,-10.8697005252838,3.06256235009324,1.69248612410698e-17,5.21628231490108e-16
jg19966.t1,1682.82247815772,-10.8581593875174,0.535938222880793,4.83286664694674e-90,3.84373993987164e-87
jg1699.t1,62.0232795431604,-10.8463659495723,3.29160324951391,2.26912899679188e-10,3.23715502920503e-09
jg18009.t1,53.2786835254317,-10.8242804958155,3.0650894665349,6.84441532318241e-17,1.98550455454264e-15
jg27472.t1,838.521179779866,-10.7954824962707,0.808665170157569,9.63721553513986e-40,1.26574658349598e-37
jg32523.t1,53.7209690885108,-10.7683021857246,3.12961975098387,7.10662902071427e-14,1.55801686157037e-12
jg8423.t1,448.798628693233,-10.765985929831,1.39662493699228,1.67268129461867e-15,4.27991160210203e-14
jg32845.t1,66.0654781132918,-10.7587782022179,3.47572487223208,5.38305221830803e-08,5.41891845201716e-07
jg25723.t1,2144.30096309925,-10.7322587829547,1.44041821897672,2.95209690583634e-15,7.36275597629845e-14
jg7671.t1,50.675904120952,-10.7135058309252,3.07730877858139,1.74691539818455e-15,4.45790389312121e-14
jg30081.t1,53.896081685561,-10.7079462141752,3.18512288921687,5.74148596421771e-12,9.97513508055107e-11
jg22139.t1,51.4096773570947,-10.7030931557672,3.11745874889832,6.64060766125949e-14,1.46256829659371e-12
jg7306.t1,57.819081810949,-10.6979209990606,3.30922181695246,1.17944048758929e-09,1.52253111094033e-08
jg30655.t1,3577.24596176382,-10.6667370645293,1.47757230877862,1.69255413857966e-14,3.92716451343703e-13
jg32989.t1,754.649377209164,-10.6233466304085,0.773209582746466,1.93276778530142e-42,2.79489935498739e-40
jg21001.t1,531.829030647334,-10.6118199093645,1.78493496314068,1.37798196488796e-10,2.0160643647763e-09
jg8984.t1,52.2988691842067,-10.6026494540875,3.22886038242801,1.23001047059737e-10,1.82191721645855e-09
jg2553.t1,53.7150667499495,-10.597106324577,3.27578532555162,7.65304168994969e-10,1.01351475331471e-08
jg18919.t1,49.3884304311865,-10.5779190388956,3.15693994760922,4.64724896640286e-12,8.15318826017443e-11
jg7538.t1,56.0202644833123,-10.5723723184317,3.36250613707605,1.09655197926747e-08,1.22451155500726e-07
jg18411.t1,46.8014926686273,-10.569214907756,3.07688944415013,1.7275317917108e-14,4.00183578157473e-13
jg32532.t1,53.3448467825163,-10.5607971903612,3.29290222777445,1.68211279906065e-09,2.12918893292239e-08
jg27133.t1,45.1361228215613,-10.5491968310981,3.03611882908156,4.24816697740578e-16,1.14856956465611e-14
jg3875.t1,48.7907874578567,-10.5228734471005,3.18378034324106,3.21055338774881e-11,5.10408465286084e-10
jg17698.t1,45.2798334294567,-10.4967323488485,3.0834992310455,9.21863908539963e-14,1.98457198716663e-12
jg27020.t1,44.8019571632706,-10.4905040045586,3.07029551395014,3.27349848228596e-14,7.40923387706021e-13
jg20069.t1,58.8509620832101,-10.4867909718256,3.51655719908959,3.08883547428473e-07,2.73383422873943e-06
jg4651.t1,43.1538247908623,-10.485919337366,3.0160704183988,1.48339504742857e-16,4.20520465326484e-15
jg2698.t1,366.156134459348,-10.4623179537801,1.07467752628018,5.99936740216819e-23,2.89669287451736e-21
jg10137.t1,59.4102370376064,-10.4547738682861,3.55852883038331,6.16505369607733e-07,5.17041058658717e-06
jg10264.t1,58.2344707012075,-10.446206813986,3.53439120399369,4.54668670140209e-07,3.89996206214933e-06
jg15939.t1,42.1008819409413,-10.4336071661064,3.01385025801336,3.36181359376119e-16,9.15846306532543e-15
jg10189.t1,42.0135187422384,-10.4190055805513,3.01715529631181,1.32251623271782e-15,3.41445309063812e-14
jg17151.t1,47.9408950889147,-10.4128788042254,3.24721282554002,1.00172895781125e-09,1.30846275182718e-08
jg16029.t1,44.2445957695112,-10.4110778421444,3.11791988408482,2.78914599199957e-12,5.00996411812621e-11
jg20699.t1,42.6983222192935,-10.4014995411227,3.0689192459076,1.03969100095215e-13,2.2315166970961e-12
jg23573.t1,46.2543168554955,-10.3992016538845,3.19869324265008,NA,NA
jg32710.t1,55.7821888007361,-10.3875552079614,3.51412389974253,4.21608899883786e-07,3.63818746879824e-06
jg2935.t1,52.1165550612333,-10.3842630439706,3.40845400851542,NA,NA
jg20127.t1,5931.81315493368,-10.3592103769246,1.86735076142042,7.2114615491498e-10,9.58137202205369e-09
jg30753.t1,56.5509035606955,-10.3584791890652,3.5602898233867,8.53690820491933e-07,6.98801063934146e-06
jg32671.t1,40.4801545070551,-10.3474681924138,3.0242543657796,4.86309942615935e-15,1.18805684957162e-13
jg22814.t1,40.0422807141109,-10.3261445117011,3.024528961997,7.107886862955e-15,1.710193417312e-13
jg21525.t1,960.513145067019,-10.2980093357894,1.6696917342334,5.33454010230779e-11,8.24722204153761e-10
jg9452.t1,40.5094668245166,-10.2948694469181,3.07892366323892,9.25761236818868e-13,1.75771854990702e-11
jg20815.t1,53.6205426542144,-10.2603154462309,3.55565326167445,1.09522613280576e-06,8.75691556394709e-06
jg1258.t1,39.8782840464245,-10.2417397387382,3.09109701445474,3.73344108028688e-12,6.61894024834513e-11
jg3459.t1,38.9154687341404,-10.2336425518864,3.05751377130333,4.38113385416398e-13,8.64511540402641e-12
jg30050.t1,37.641798856476,-10.1976545351205,3.03487497063207,1.23656332997186e-13,2.63432152260077e-12
jg27245.t1,42.6872205479449,-10.1973991313441,3.24540084176372,3.91185252040819e-09,4.66295426162895e-08
jg27714.t1,50.036790548872,-10.0904909612738,3.58931151155671,2.56968674911996e-06,1.92555014396239e-05
jg1232.t1,34.2971747623408,-10.0730601983362,2.99333059031006,3.0830331318378e-14,7.0058257643476e-13
jg3647.t1,270.690645284439,-10.0666704579173,0.994581596421376,2.34146284505843e-24,1.25076052574091e-22
jg20928.t1,39.4894980702731,-10.0511170356528,3.23799136918902,7.32088457956808e-09,8.38446269128773e-08
jg20473.t1,48.6249792521884,-10.0379465683595,3.58874670735169,2.94803237348434e-06,2.18221465660816e-05
jg27080.t1,33.2793427014837,-9.998667922344,3.01113910647178,3.11298092034895e-13,6.2679936505929e-12
jg27021.t1,259.991196870694,-9.99856819291554,1.01180340711647,2.16847569632578e-23,1.07047924374482e-21
jg8453.t1,281.750615194151,-9.98640606019765,1.25759772481337,2.33551373913612e-16,6.49227469698499e-15
jg23220.t1,481.865986554256,-9.9787162912895,0.811839688119951,3.23027574818943e-34,3.30318768650571e-32
jg2594.t1,573.171382584858,-9.9453695221088,1.5683454568138,1.56602675528092e-11,2.57534332256461e-10
jg15982.t1,31.4202400633437,-9.87700016415472,3.02037552247816,3.21556614502616e-12,5.72562747912866e-11
jg19294.t1,239.34306317513,-9.84483600690944,1.08299111348714,2.15539257407521e-20,8.55938976157026e-19
jg7321.t1,30.3790826384359,-9.84117617069365,2.98784028625275,5.16863408465163e-13,1.00947019857944e-11
jg11324.t1,29.523789201221,-9.8262759781122,2.95526871481628,5.06732744248757e-14,1.12645744823994e-12
jg7029.t1,41.4869682341179,-9.81149274526979,3.52002188287057,2.6863020522612e-06,2.0034957113921e-05
jg22242.t1,29.8327221613676,-9.79115324563495,3.01128223631183,4.86345200277922e-12,8.51163555889821e-11
jg1589.t1,35.0883599856462,-9.78007412537987,3.27336288823653,7.55987607745375e-08,7.44448361228097e-07
jg22487.t1,29.2211550196458,-9.74406000129072,3.01754004646041,1.23492751339773e-11,2.0629197528357e-10
jg1030.t1,275.895465101412,-9.73828668009882,1.47001900182993,1.68241656846679e-12,3.09581948511189e-11
jg22374.t1,30.0780909426408,-9.72805471898935,3.0777444516597,2.94923234664509e-10,4.14680740358356e-09
jg15561.t1,29.6269645269464,-9.68867050173705,3.07758668079262,4.02290454178588e-10,5.5244030139287e-09
jg10182.t1,32.4011313981368,-9.66263160813837,3.2441040517881,7.11097404955214e-08,7.03286386828245e-07
jg10986.t1,43.5962345558551,-9.65330062216084,3.73948065514308,2.25033166704274e-05,0.000138681653660714
